Zone_,Code zone (ISO3)_,TAS_V,TDI_V,M_V,crl_n,C_Vol,C_Viande,Q__Vol,D_ Kca,stabilite_politique,acces_leau,Population totale,pib
Bangladesh,BGD,103.3,0.0,256.63,9032.75,258.0,4527.09,249.0,62.449999999999996,-1.26,97.0,161793.964,4894.6
Bulgarie,BGR,58.5,59.0,323.28,485.39,157.0,438.57,107.0,251.32000000000002,0.33,99.0,7182.428,21469.9
Bahreïn,BHR,71.5,39.6,18.48,0.0,0.0,17.96,0.0,0.0,-0.96,100.0,1456.834,47709.8
Bahamas,BHS,15.6,57.8,46.519999999999996,1.0,20.0,38.1,7.0,496.24999999999994,0.99,99.0,399.02,35911.7
Bosnie-Herzégovine,BIH,96.8,15.9,77.97,686.09,63.0,150.84,61.0,232.41,-0.35,96.0,3440.027,13753.8
Bélarus,BLR,116.3,5.3,241.39,3332.55,265.0,816.64,463.0,385.59,-0.05,97.0,9707.876,18356.1
Belize,BLZ,95.2,0.0,4.95,53.05,10.0,17.880000000000003,20.0,230.72999999999996,0.04,98.0,374.693,7140.9
Bolivie (État plurinational de),BOL,100.0,0.2,20.07,720.02,507.0,927.55,507.0,383.09,-0.28,92.0,11435.533,8423.7
Brésil,BRA,141.8,0.0,465.63,47272.36,9902.0,21764.620000000003,14168.0,477.22,-0.47,98.0,208504.96,14524.6
Barbade,BRB,88.9,11.1,21.98,25.1,13.0,30.1,16.0,408.04,0.97,98.0,279.187,15800.4
Bhoutan,BTN,71.5,39.6,5.07,0.58,0.0,4.73,0.0,0.0,1.12,97.0,756.121,11142.5
Botswana,BWA,62.5,37.5,14.84,15.02,7.0,32.67,5.0,93.84,1.02,90.0,2401.84,15948.0
République centrafricaine,CAF,58.3,41.7,13.73,0.0,11.0,189.75,7.0,202.97999999999996,-2.01,40.0,4996.741,912.8
Canada,CAN,98.3,12.6,1145.08,18234.4,1431.0,3643.0299999999997,1418.0,378.97999999999996,1.1,99.0,36554.348,48317.2
Suisse,CHE,63.4,35.2,197.28,946.28,133.0,633.03,92.0,438.28,1.26,100.0,8451.687,69103.6
Chili,CHL,95.5,20.2,706.51,2954.05,736.0,1732.13,703.0,477.97,0.42,100.0,18368.577,24411.5
"Chine, continentale",CHN,104.8,2.6,12184.35,231874.06,19328.0,115212.36,18405.0,524.49,-0.1,93.0,1410275.957,20657.0
Côte d'Ivoire,CIV,98.0,2.0,500.82,582.0,49.0,617.6800000000001,48.0,84.54999999999998,-1.09,71.0,24848.016,4830.8
Cameroun,CMR,101.3,0.0,189.81,598.12,78.0,526.38,77.0,78.23,-1.1,65.0,24393.181,3665.1
République démocratique du Congo,COD,8.4,91.6,281.15999999999997,182.11,119.0,592.14,10.0,24.520000000000003,-2.3,87.6,84283.273,1059.8
Congo,COG,6.1,90.4,164.95,6.33,107.0,251.95,7.0,183.57,-0.53,73.0,5312.34,4234.7
Colombie,COL,95.4,4.8,430.47,4972.36,1639.0,3152.9300000000003,1564.0,273.96000000000004,-0.77,97.0,48351.671,14171.3
Comores,COM,6.2,87.5,19.8,2.0,13.0,28.5,1.0,108.42,0.04,80.0,761.664,3032.3
Cabo Verde,CPV,5.9,70.6,16.92,7.0,9.0,19.09,1.0,183.04000000000002,0.77,87.0,564.954,6643.2
Costa Rica,CRI,83.1,10.6,144.74,701.94,131.0,329.27,133.0,214.29999999999998,0.61,100.0,4993.842,20347.0
Cuba,CUB,8.1,87.6,385.23,1223.15,323.0,669.61,29.0,318.3,0.65,96.0,11336.405,20657.0
Chypre,CYP,58.1,32.6,55.76,443.02000000000004,30.0,101.38,25.0,347.99999999999994,0.54,100.0,1208.523,38288.0
Tchéquie,CZE,63.7,45.3,669.27,1867.38,234.0,875.44,163.0,334.97999999999996,1.0,100.0,10531.305,38824.9
Allemagne,DEU,81.3,45.2,3987.54,20617.47,1492.0,7085.22,1514.0,344.17,0.59,100.0,82624.374,53071.5
Djibouti,DJI,0.0,100.0,4.390000000000001,2.0,3.0,17.73,0.0,89.86000000000003,-0.74,76.0,1040.233,4905.0
Dominique,DMA,0.0,100.0,4.59,0.0,3.0,6.78,0.0,358.51,1.2,95.0,70.403,11341.3
Danemark,DNK,104.1,91.1,1102.62,6293.47,145.0,503.08,152.0,423.8,0.87,100.0,5737.284,55356.7
République dominicaine,DOM,90.4,11.2,148.92000000000002,1478.72,370.0,601.36,339.0,209.37,0.16,96.0,10647.244,16735.4
Algérie,DZA,99.3,0.7,104.82,4779.0,286.0,940.88,284.0,99.89000000000001,-0.92,94.0,41136.546,11737.4
Équateur,ECU,100.0,0.0,71.81,1160.16,340.0,899.38,340.0,227.72,-0.07,94.0,16696.944,11617.9
Égypte,EGY,91.1,8.5,756.3299999999999,10532.42,1555.0,4422.35,1429.0,150.25,-1.42,99.0,101789.386,11014.5
Espagne,ESP,95.4,12.9,1647.69,21232.6,1415.0,5255.9,1515.0,431.35999999999996,0.28,100.0,46584.17,39528.9
Estonie,EST,60.6,63.6,97.18,183.5,28.0,88.85,20.0,290.36999999999995,0.65,100.0,1317.549,33821.9
Éthiopie,ETH,105.9,0.0,2.1,959.0,76.0,697.34,72.0,38.82,-1.68,45.0,108197.95,2021.6
Finlande,FIN,82.2,10.2,199.57999999999998,1608.3,104.0,567.73,129.0,574.23,1.08,100.0,5508.14,47570.1
Fidji,FJI,69.4,6.1,62.61,3.4299999999999997,22.0,54.93,34.0,249.87,0.62,94.0,919.019,13429.3
France,FRA,89.9,26.0,2364.31,15615.11,1482.0,5859.63,1750.0,446.05999999999995,0.28,100.0,64144.086,44577.1
Micronésie (États fédérés de),FSM,71.5,39.6,3.35,0.0,0.0,4.92,0.0,0.0,1.18,88.0,110.43,3489.7
Gabon,GAB,4.9,92.7,127.88,23.0,61.0,135.47,4.0,275.6,-0.1,85.0,2140.215,15006.8
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,GBR,82.0,34.7,3144.75,12093.38,2179.0,5688.57,1839.0,461.16,0.39,87.6,66064.804,46372.4
Géorgie,GEO,29.7,68.9,104.75999999999999,164.26,61.0,160.88,22.0,154.65,-0.37,97.0,3771.9,13589.7
Ghana,GHA,27.8,72.2,551.73,1039.65,209.0,1005.3199999999999,58.0,98.19,0.09,82.0,30222.262,5115.9
Guinée,GIN,19.5,48.1,41.61,1244.0,27.0,245.24,15.0,74.5,-0.7,64.0,12240.789,2417.8
Gambie,GMB,11.1,88.9,20.88,8.01,18.0,75.13,2.0,97.43,-0.08,80.0,2381.182,2072.6
Guinée-Bissau,GNB,30.0,40.0,5.57,9.0,4.0,32.09,3.0,109.75,-0.5,59.0,1879.826,1925.2
Grèce,GRC,59.4,19.1,891.66,3209.73,162.0,774.12,246.0,277.15000000000003,-0.07,100.0,10692.228,28604.9
Grenade,GRD,12.5,87.5,8.9,5.0,5.0,8.219999999999999,1.0,324.96000000000004,1.01,96.0,120.921,16217.5
Guatemala,GTM,65.5,36.4,249.19,902.15,333.0,641.15,232.0,135.04,-0.65,93.0,16578.723,8322.2
Guyana,GUY,100.0,0.0,5.02,194.0,31.0,42.379999999999995,31.0,246.67999999999998,-0.04,96.0,763.252,12005.4
Chine - RAS de Hong-Kong,HKG,7.8,294.5,2145.15,36.5,334.0,1146.79,24.0,801.98,0.83,87.6,7461.519,59842.2
Honduras,HND,94.6,5.9,76.9,456.45,203.0,334.3,193.0,155.33999999999997,-0.56,94.0,9626.842,5562.0
Croatie,HRV,66.0,24.0,217.01,1157.88,45.0,349.65999999999997,66.0,359.90000000000003,0.69,87.6,4192.467,27154.1
Haïti,HTI,9.2,90.8,148.06,116.0,98.0,260.90999999999997,9.0,104.03,-0.67,65.0,10863.543,3153.3
Hongrie,HUN,117.9,13.9,364.2,3710.9,246.0,818.6700000000001,493.0,398.85,0.81,100.0,9788.941,29501.1
Indonésie,IDN,73.3,0.0,710.47,6783.3,2048.0,11941.140000000001,3218.0,123.61000000000001,-0.5,90.0,264498.852,10935.6
Inde,IND,100.1,0.0,74.39,22197.33,3800.0,13917.95,3804.0,29.540000000000003,-0.76,89.0,1354195.68,6182.9
Irlande,IRL,79.8,54.1,391.04,3073.37,114.0,432.89,146.0,418.65000000000003,1.0,97.0,4771.854,77749.2
Irlande,IRL,79.8,54.1,391.04,3073.37,114.0,432.89,146.0,418.65000000000003,1.0,100.0,4771.854,77749.2
Iran (République islamique d'),IRN,103.5,0.3,237.56,13971.54,2189.0,4027.5299999999997,2194.0,189.70000000000002,-0.93,97.0,84505.076,15883.4
Iraq,IRQ,20.3,79.7,484.18,1794.5,473.0,725.03,96.0,85.01,-2.31,96.0,39621.162,10526.4
Islande,ISL,76.9,15.4,40.31,52.36,10.0,47.370000000000005,10.0,689.1300000000001,1.35,100.0,343.632,55638.5
Israël,ISR,97.4,0.0,251.1,2768.93,555.0,974.67,629.0,446.0400000000001,-0.89,100.0,8309.257,39121.3
Italie,ITA,101.9,7.5,2515.87,13500.97,1145.0,5225.1900000000005,1319.0,367.21,0.31,100.0,60004.032,41581.1
Jamaïque,JAM,77.6,18.8,91.11,246.37,149.0,238.42,128.0,260.66999999999996,0.31,91.0,2808.376,9600.1
Jordanie,JOR,79.8,26.4,177.64,1583.09,253.0,392.51,193.0,157.60000000000002,-0.45,99.0,10215.381,10003.6
Japon,JPN,53.6,25.9,5731.87,14096.52,2360.0,9389.58,2215.0,272.79999999999995,1.11,99.0,126662.472,41444.2
Kazakhstan,KAZ,48.9,49.7,300.11,2193.97,330.0,1114.3400000000001,171.0,330.96000000000004,0.03,95.0,18314.814,24863.0
Kenya,KEN,100.0,0.0,32.74,153.64,107.0,851.83,106.0,85.25999999999999,-1.13,60.0,48948.137,4203.6
Kirghizistan,KGZ,25.0,78.1,32.7,1053.03,19.0,183.04,8.0,173.39000000000001,-0.38,90.0,6121.261,5046.7
